;ChannelName;ChannelID;VideoID;Titulo;Artist;PublishDate;PublishTime;ViewsCount;LikeCount;FavoriteCount;CommentCount
3170;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;X2G0q_uodxw;Anne-Marie feat. Doja Cat - To Be Young (Legendado PT-BR);Anne;2020-07-23;14:08:31Z;3666.0;263.0;0.0;11.0
3171;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;QZhMMxeQCDQ;WMBR Music - Day e Lara;WMBR Music;2020-07-22;21:00:08Z;251753.0;303.0;0.0;39.0
3172;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;WtIcTFt7r4Q;Zedd & Jasmine Thompson - Funny (Legenda PT-BR);Zedd & Jasmine Thompson;2020-07-22;14:23:07Z;4082.0;127.0;0.0;9.0
3173;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;qnIXhv9wdTg;#HANGAR • 6 • Lous - Espingarda;#HANGAR • 6 • Lous;2020-07-17;21:00:11Z;46341.0;233.0;0.0;34.0
3174;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;KcNKwfAFxjw;#HANGAR • 5 • Morenna - Crystal;#HANGAR • 5 • Morenna;2020-07-17;15:00:09Z;682499.0;1694.0;0.0;767.0
3175;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;A_k9anA5xYE;Dua Lipa - Hallucinate (Legendado PT-BR);Dua Lipa;2020-07-16;14:00:02Z;25180.0;649.0;0.0;12.0
3176;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;YCHsYncMEP8;Charlie Puth - Girlfriend (Legendado PT-BR);Charlie Puth;2020-07-15;22:00:10Z;9141.0;410.0;0.0;21.0
3177;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;EKjMCUh-IHg;Warner Music Entrou na Sala - Charles Gavin;Warner Music Entrou na Sala;2020-07-13;21:15:58Z;862.0;55.0;0.0;9.0
3178;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;gXxUmzI93XU;Warner Pride Brasil - Elana Dara (Live);Warner Pride Brasil;2020-07-12;19:00:11Z;98073.0;313.0;0.0;17.0
3179;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;Z8F8JIOYDa8;Warner Pride Brasil - Ludmilla (Live);Warner Pride Brasil;2020-07-11;23:00:08Z;66186.0;368.0;0.0;34.0
